round,race,race_laps,driver,stint,compound,clean_laps,start_lap,race_fraction,deg_old,deg_per_lap,pace_at_age5
3,Japanese,53,LIN,1,MEDIUM,16,2,0.03773584905660377,0.06951059933407654,0.09030394834587802,94.80771385937638
3,Japanese,53,LIN,2,HARD,27,20,0.37735849056603776,-0.00597031971502463,0.01482302929677833,95.1156320580843
3,Japanese,53,NOR,1,MEDIUM,14,2,0.03773584905660377,0.04124482687124376,0.062038175883040295,93.53738208820646
3,Japanese,53,NOR,2,HARD,30,18,0.33962264150943394,0.022005459563648716,0.042798808575452874,93.31535531805693
3,Japanese,53,OCO,1,MEDIUM,17,2,0.03773584905660377,0.07973265815759956,0.10052600716940745,94.46643885937642
3,Japanese,53,OCO,2,HARD,26,28,0.5283018867924528,0.018315400741815785,0.03910874975362025,94.47228691716381
3,Japanese,53,PER,1,MEDIUM,19,2,0.03773584905660377,0.06092313803376272,0.08171648704556583,96.1122034878594
3,Japanese,53,PER,2,HARD,26,28,0.5283018867924528,0.01212258022899451,0.03291592924079864,96.09391569872231
3,Japanese,53,PIA,1,MEDIUM,16,2,0.03773584905660377,0.030063540510549554,0.05085688952235066,93.27697562408227
3,Japanese,53,PIA,2,HARD,28,20,0.37735849056603776,0.012170363636140194,0.03296371264794318,93.27499691088208
3,Japanese,53,RUS,1,MEDIUM,19,2,0.03773584905660377,0.050779278384639116,0.07157262739644374,93.08080348785941
3,Japanese,53,RUS,2,HARD,26,28,0.5283018867924528,0.001468905015320046,0.022262254027123108,93.5659324508591
3,Japanese,53,SAI,1,MEDIUM,19,2,0.03773584905660377,-0.009261072492553727,0.011532276519250982,95.50899296154358
3,Japanese,53,SAI,2,HARD,26,28,0.5283018867924528,-0.0030709240445067577,0.01772242496729678,95.33359778180923
3,Japanese,53,STR,1,MEDIUM,19,2,0.03773584905660377,0.04849331347235917,0.06928666248416177,96.48378243522782
3,Japanese,53,VER,1,MEDIUM,20,2,0.03773584905660377,0.0021043410412836354,0.022897690053086346,94.2859177735737
3,Japanese,53,VER,2,HARD,26,28,0.5283018867924528,0.01953181099822889,0.04032516001003115,93.9118070125785
4,Miami,57,ALB,1,MEDIUM,17,2,0.03508771929824561,0.04654845047150761,0.011556857268601216,92.84215296934453
4,Miami,57,ALB,2,HARD,27,29,0.5087719298245614,0.04560638325005134,0.010614790047143349,92.09748352259416
4,Miami,57,ALO,1,MEDIUM,31,2,0.03508771929824561,0.03906057234850923,0.004068979145602705,94.29656925189607
4,Miami,57,ALO,2,SOFT,12,43,0.7543859649122807,0.05410773323199593,0.019116140029085467,93.41000128610348
4,Miami,57,ANT,1,MEDIUM,16,2,0.03508771929824561,0.0260314318603328,-0.00896016134257532,91.09442124675004
4,Miami,57,ANT,2,HARD,28,28,0.49122807017543857,0.038111777490180715,0.0031201842872726955,90.29340651439664
4,Miami,57,BEA,1,MEDIUM,16,2,0.03508771929824561,0.023790848628255534,-0.011200744574653409,93.2802575164949
4,Miami,57,BEA,2,HARD,27,28,0.49122807017543857,0.07816504334761383,0.04317345014470578,91.9309180006473
4,Miami,57,BOR,1,MEDIUM,22,2,0.03508771929824561,-0.027423900432443048,-0.062415493635349616,94.32647263202365
4,Miami,57,BOR,2,HARD,21,34,0.5964912280701754,0.06512298475628993,0.030131391553382025,91.8907792467123
4,Miami,57,BOT,2,SOFT,8,12,0.21052631578947367,0.16786925913510056,0.13287766593219336,93.92156515327956
4,Miami,57,BOT,4,MEDIUM,22,32,0.5614035087719298,0.06811921397787374,0.03312762077496613,96.0723223939598
4,Miami,57,COL,1,MEDIUM,21,2,0.03508771929824561,0.03351125321609741,-0.0014803399868106909,92.26537570870384
