round,race,race_laps,driver,stint,compound,clean_laps,start_lap,race_fraction,deg_per_lap,pace_at_age5
8,Austrian,71,RUS,2,HARD,19,21,0.29577464788732394,0.07852390683578693,70.0289080975351
8,Austrian,71,RUS,3,HARD,25,45,0.6338028169014085,0.05993629971360731,70.20139798873642
8,Austrian,71,SAI,1,SOFT,12,2,0.028169014084507043,0.14387008765881865,72.4688271282708
8,Austrian,71,SAI,2,MEDIUM,8,16,0.22535211267605634,0.17800586854460393,72.57936150234745
8,Austrian,71,STR,1,MEDIUM,21,2,0.028169014084507043,0.10017188586061825,73.32648626912989
8,Austrian,71,STR,2,SOFT,19,26,0.36619718309859156,0.05144709661477594,73.3895272053373
8,Austrian,71,VER,1,MEDIUM,16,2,0.028169014084507043,0.10987547638773941,70.1835744407622
8,Austrian,71,VER,2,HARD,26,20,0.28169014084507044,0.07057879273627628,69.91429874811578
8,Austrian,71,VER,3,HARD,19,51,0.7183098591549296,0.06566809019141703,70.09924673051249
9,British,52,ALB,2,HARD,11,3,0.057692307692307696,0.28324755244755534,95.87663076923074
9,British,52,ALB,4,SOFT,10,25,0.4807692307692308,0.1673020979021023,94.34312727272726
9,British,52,ALO,1,MEDIUM,17,3,0.057692307692307696,0.08704336349924666,96.81589819004525
9,British,52,ALO,2,HARD,21,22,0.4230769230769231,0.024041846778811403,97.0054117754284
9,British,52,ANT,1,MEDIUM,31,3,0.057692307692307696,0.004716279443804288,92.68540861637888
9,British,52,BEA,1,MEDIUM,25,3,0.057692307692307696,0.025215283989268155,95.27165457289803
9,British,52,BEA,2,HARD,13,31,0.5961538461538461,0.1048567185710052,94.23024095209803
9,British,52,BOR,1,MEDIUM,21,3,0.057692307692307696,0.01766953262241145,94.25036819490148
9,British,52,BOR,2,HARD,17,28,0.5384615384615384,0.06911182544009022,93.33023565908864
9,British,52,BOT,1,MEDIUM,25,3,0.057692307692307696,0.08681272361359801,95.65923289355993
9,British,52,BOT,2,HARD,13,31,0.5961538461538461,0.09179770036912802,95.61694310322876
9,British,52,COL,1,MEDIUM,18,3,0.057692307692307696,-0.009713344447085664,94.85688460215393
9,British,52,COL,2,HARD,21,24,0.46153846153846156,0.036842747116392086,93.89570043538592
9,British,52,GAS,1,MEDIUM,18,3,0.057692307692307696,-0.0022107644677273105,94.69756227673254
9,British,52,GAS,2,HARD,20,25,0.4807692307692308,0.03131511070531638,93.85165738415887
9,British,52,HAD,1,MEDIUM,16,3,0.057692307692307696,0.039135520361997,93.32078348416283
9,British,52,HAD,2,HARD,15,23,0.4423076923076923,0.04295989010988963,93.37239450549455
9,British,52,HAM,1,MEDIUM,19,3,0.057692307692307696,0.063554251012144,92.64731862348178
9,British,52,HAM,2,HARD,20,25,0.4807692307692308,0.03592195668408958,92.49961575802843
9,British,52,HUL,1,MEDIUM,14,3,0.057692307692307696,-0.01962637362637516,94.85136263736263
9,British,52,HUL,2,HARD,14,19,0.36538461538461536,-0.023783118151242243,94.13953303677984
9,British,52,LAW,1,MEDIUM,24,3,0.057692307692307696,0.025488319753639816,94.0748041008533
9,British,52,LAW,2,HARD,15,30,0.5769230769230769,0.020452124710150028,93.30306182578889
9,British,52,LEC,1,MEDIUM,21,3,0.057692307692307696,0.05450147459267899,92.26046791630104
9,British,52,LEC,2,HARD,19,27,0.5192307692307693,0.03720609199419542,92.31905953250934
9,British,52,LIN,1,MEDIUM,22,3,0.057692307692307696,0.03526218303647615,94.0164593216872
9,British,52,LIN,2,HARD,16,29,0.5576923076923077,0.07305195401381033,93.10940824717578
9,British,52,NOR,1,MEDIUM,24,3,0.057692307692307696,0.012266534932958309,93.36495726182078
9,British,52,NOR,2,HARD,8,30,0.5769230769230769,0.1430860805860792,92.57349542124547
9,British,52,OCO,1,MEDIUM,18,3,0.057692307692307696,0.01562721282845634,95.24678209097402
9,British,52,OCO,2,HARD,21,23,0.4423076923076923,0.003829592208735871,94.88029180771835
9,British,52,PER,1,MEDIUM,18,3,0.057692307692307696,0.0320998650472394,95.38793207377415
9,British,52,PER,2,HARD,21,23,0.4423076923076923,0.0336887662100883,95.63956194989846
9,British,52,PIA,2,HARD,31,4,0.07692307692307693,0.07175535937977835,93.02219753506765
9,British,52,RUS,1,MEDIUM,19,3,0.057692307692307696,0.04521039136302229,92.87051511470983
9,British,52,RUS,2,HARD,9,25,0.4807692307692308,0.23857179487179195,92.35571025641026
9,British,52,RUS,3,MEDIUM,9,36,0.6923076923076923,0.09049247097242392,91.49882937227868
9,British,52,SAI,1,MEDIUM,17,3,0.057692307692307696,-0.01185369532428302,95.26845701357466
9,British,52,SAI,2,HARD,22,22,0.4230769230769231,0.04315197648483101,94.79919703048877
9,British,52,STR,1,MEDIUM,15,3,0.057692307692307696,0.057849175824170866,97.13307206959712
9,British,52,STR,2,HARD,22,20,0.38461538461538464,-0.007786003146740468,97.59142520343195
9,British,52,VER,1,MEDIUM,14,3,0.057692307692307696,0.03401098901098726,92.87320879120875
9,British,52,VER,2,HARD,18,19,0.36538461538461536,0.05863620589936385,92.67756043956044
10,Belgian,44,ALB,1,MEDIUM,12,5,0.11363636363636363,0.10127378282095241,111.09881158464175
10,Belgian,44,ALB,2,HARD,24,21,0.4772727272727273,0.03079264822134574,111.67200772068512
10,Belgian,44,ALO,1,HARD,11,5,0.11363636363636363,-0.0803603592669025,114.89822090059474
10,Belgian,44,ALO,2,SOFT,10,21,0.4772727272727273,0.7130363636363645,113.98596363636362
10,Belgian,44,ALO,3,HARD,10,33,0.75,0.3660181818181828,115.1689818181818
10,Belgian,44,ANT,1,MEDIUM,12,5,0.11363636363636363,0.027758543343447583,109.28294849804281
10,Belgian,44,ANT,2,HARD,23,22,0.5,0.04119664031620719,108.77803359683793
10,Belgian,44,BEA,2,HARD,13,5,0.11363636363636363,0.0828882063882039,111.05165356265357
10,Belgian,44,BEA,3,HARD,23,22,0.5,0.055804347826083275,110.91000000000003
10,Belgian,44,BOR,1,MEDIUM,13,5,0.11363636363636363,0.0006236793611770828,111.06496096437353
10,Belgian,44,BOR,2,HARD,23,22,0.5,0.06702865612647968,109.91629249011861
10,Belgian,44,BOT,2,HARD,24,5,0.11363636363636363,0.045582202081768095,112.9430695076582
10,Belgian,44,BOT,3,SOFT,10,34,0.7727272727272727,0.0010787878787939173,112.79238181818182
10,Belgian,44,COL,1,MEDIUM,9,5,0.11363636363636363,0.08191174242424372,110.55684621212119
10,Belgian,44,COL,2,HARD,26,17,0.38636363636363635,0.016713324434031226,110.98327068406569
10,Belgian,44,GAS,1,MEDIUM,8,5,0.11363636363636363,-0.04763945184327059,110.85246728430805
10,Belgian,44,GAS,2,HARD,26,16,0.36363636363636365,0.007061417979748925,111.17012529896718
10,Belgian,44,HAD,3,HARD,13,5,0.11363636363636363,-0.06657226658475875,110.63885021498768
10,Belgian,44,HAD,4,HARD,23,22,0.5,0.03775889328063013,109.09434387351779
10,Belgian,44,HAM,1,MEDIUM,12,5,0.11363636363636363,0.12325002511300491,108.93671384563876
10,Belgian,44,HAM,2,HARD,23,22,0.5,0.05961462450592504,109.03069169960473
10,Belgian,44,HUL,1,MEDIUM,13,5,0.11363636363636363,-0.041372266584771694,111.32039474815733
10,Belgian,44,HUL,2,HARD,23,22,0.5,-0.01653754940711731,111.51190909090909
10,Belgian,44,LAW,1,MEDIUM,9,5,0.11363636363636363,0.08590340909090687,110.3129962121212
10,Belgian,44,LAW,2,HARD,25,17,0.38636363636363635,-0.005737942449710094,111.43187862999746
10,Belgian,44,LEC,1,MEDIUM,13,5,0.11363636363636363,0.01792469287468791,109.49866941031948
10,Belgian,44,LEC,2,HARD,23,22,0.5,0.046309288537546414,109.015395256917
10,Belgian,44,LIN,1,MEDIUM,10,5,0.11363636363636363,0.06364015151515755,110.35659848484843
10,Belgian,44,LIN,2,HARD,24,19,0.4318181818181818,0.0473250388311522,109.8029444430413
10,Belgian,44,NOR,1,HARD,21,5,0.11363636363636363,-0.0011781712220396614,110.0226963225582
10,Belgian,44,NOR,2,MEDIUM,13,32,0.7272727272727273,0.008673326673327672,108.8331268731269
10,Belgian,44,OCO,2,HARD,10,5,0.11363636363636363,-0.11531060606061032,112.57843181818178
10,Belgian,44,OCO,3,HARD,25,19,0.4318181818181818,0.05401338222217567,111.12903878539036
10,Belgian,44,PIA,1,MEDIUM,13,5,0.11363636363636363,0.15827874692874266,109.06655319410322
10,Belgian,44,PIA,2,HARD,23,22,0.5,0.0867885375494037,109.11830039525691
10,Belgian,44,SAI,2,HARD,26,16,0.36363636363636365,0.045022726715916575,110.88168444743386
10,Belgian,44,STR,1,HARD,11,5,0.11363636363636363,0.03787595581988269,114.34659473237042
10,Belgian,44,VER,1,MEDIUM,11,5,0.11363636363636363,0.07325446049277984,109.058608751062
10,Belgian,44,VER,2,HARD,24,19,0.4318181818181818,0.05442859488060224,108.94756577302398
11,Hungarian,70,ALB,1,MEDIUM,24,2,0.02857142857142857,0.01799844720496754,86.81429296066254
11,Hungarian,70,ALB,2,HARD,24,28,0.4,0.04331193490054192,86.16807293550328
11,Hungarian,70,ALB,3,SOFT,13,56,0.8,0.2196593406593406,86.31162637362637
11,Hungarian,70,ALO,1,SOFT,32,2,0.02857142857142857,0.04081242144951776,86.00721973188105
11,Hungarian,70,ALO,2,MEDIUM,17,36,0.5142857142857142,0.002408332222816457,85.37867122534645
11,Hungarian,70,ALO,3,SOFT,13,57,0.8142857142857143,0.08968131868131644,83.78206593406594
11,Hungarian,70,ANT,1,MEDIUM,20,2,0.02857142857142857,0.027800000000001386,83.80885714285712
11,Hungarian,70,ANT,2,HARD,27,24,0.34285714285714286,0.029229515999120527,83.73004085816797
11,Hungarian,70,ANT,3,HARD,14,55,0.7857142857142857,0.08265136668385666,82.58260237235687
11,Hungarian,70,BEA,1,MEDIUM,20,2,0.02857142857142857,0.034988721804512256,86.32418045112779
11,Hungarian,70,BEA,2,HARD,17,24,0.34285714285714286,0.19595802689250164,85.89673828095982
11,Hungarian,70,BEA,3,HARD,22,44,0.6285714285714286,0.09854869732470574,85.72703412866205
11,Hungarian,70,BOR,1,SOFT,27,2,0.02857142857142857,-0.01464652014651979,86.03217419617418
11,Hungarian,70,BOR,2,HARD,35,31,0.44285714285714284,0.10800896618560721,84.0728478654115
11,Hungarian,70,BOT,1,MEDIUM,12,2,0.02857142857142857,0.041969030969031415,87.0038393273393
11,Hungarian,70,COL,1,MEDIUM,13,2,0.02857142857142857,0.05906043956043984,86.0912912087912
11,Hungarian,70,COL,2,HARD,20,17,0.24285714285714285,0.0749511278195492,85.65948195488721
